 INFO  Accepting connections at http://localhost:8082
 HTTP  3/9/2025 3:44:43 PM 172.20.0.1 GET /
 HTTP  3/9/2025 3:44:43 PM 172.20.0.1 Returned 200 in 18 ms
 HTTP  3/9/2025 3:44:43 PM 172.20.0.1 GET /_expo/static/css/global-f72a62d2075c8088ba50a67e66d8290e.css
 HTTP  3/9/2025 3:44:43 PM 172.20.0.1 Returned 200 in 2 ms
 HTTP  3/9/2025 3:44:43 PM 172.20.0.1 GET /_expo/static/js/web/index-a499d4475543163afdda1645928bfc09.js
 HTTP  3/9/2025 3:44:43 PM 172.20.0.1 Returned 200 in 3 ms
 HTTP  3/9/2025 3:44:43 PM 172.20.0.1 GET /assets/public/icosahedron.ea5d98412472b7885d87e61ee4b67a63.svg
 HTTP  3/9/2025 3:44:43 PM 172.20.0.1 Returned 200 in 2 ms
 HTTP  3/9/2025 3:46:37 PM 172.20.0.1 GET /
 HTTP  3/9/2025 3:46:37 PM 172.20.0.1 Returned 200 in 3 ms
 HTTP  3/9/2025 3:46:37 PM 172.20.0.1 GET /_expo/static/js/web/index-ff32fc8da3c18fb26394065ecff55d65.js
 HTTP  3/9/2025 3:46:37 PM 172.20.0.1 Returned 200 in 4 ms
 HTTP  3/9/2025 3:46:37 PM 172.20.0.1 GET /assets/node_modules/@expo/vector-icons/build/vendor/react-native-vector-icons/Fonts/MaterialCommunityIcons.b62641afc9ab487008e996a5c5865e56.ttf
 HTTP  3/9/2025 3:46:37 PM 172.20.0.1 Returned 200 in 5 ms
 HTTP  3/9/2025 3:49:43 PM 172.20.0.1 GET /
 HTTP  3/9/2025 3:49:43 PM 172.20.0.1 Returned 200 in 2 ms
 HTTP  3/9/2025 3:49:43 PM 172.20.0.1 GET /_expo/static/js/web/index-8e31c2b1fac1d08721692fa20de1f665.js
 HTTP  3/9/2025 3:49:43 PM 172.20.0.1 Returned 200 in 5 ms
 HTTP  3/9/2025 3:49:44 PM 172.20.0.1 GET /assets/node_modules/@expo/vector-icons/build/vendor/react-native-vector-icons/Fonts/MaterialCommunityIcons.b62641afc9ab487008e996a5c5865e56.ttf
 HTTP  3/9/2025 3:49:44 PM 172.20.0.1 Returned 200 in 4 ms
 HTTP  3/9/2025 3:49:48 PM 172.20.0.1 GET /MainTabs/Create
 HTTP  3/9/2025 3:49:48 PM 172.20.0.1 Returned 404 in 1 ms
 HTTP  3/9/2025 3:49:59 PM 172.20.0.1 GET /
 HTTP  3/9/2025 3:49:59 PM 172.20.0.1 Returned 200 in 2 ms
 HTTP  3/9/2025 3:49:59 PM 172.20.0.1 GET /_expo/static/js/web/index-8e31c2b1fac1d08721692fa20de1f665.js
 HTTP  3/9/2025 3:49:59 PM 172.20.0.1 Returned 200 in 1 ms
 HTTP  3/9/2025 3:50:00 PM 172.20.0.1 GET /assets/node_modules/@expo/vector-icons/build/vendor/react-native-vector-icons/Fonts/MaterialCommunityIcons.b62641afc9ab487008e996a5c5865e56.ttf
 HTTP  3/9/2025 3:50:00 PM 172.20.0.1 Returned 200 in 7 ms
 HTTP  3/9/2025 3:50:01 PM 172.20.0.1 GET /MainTabs/Create
 HTTP  3/9/2025 3:50:01 PM 172.20.0.1 Returned 404 in 1 ms
 HTTP  3/9/2025 3:50:03 PM 172.20.0.1 GET /
 HTTP  3/9/2025 3:50:03 PM 172.20.0.1 Returned 200 in 1 ms
